Date,Open,High,Low,Close,Volume
2021-07-01,25.07,26.98,18.9,20.27,2011411
2021-07-02,20.5,20.99,16.9275,20.82,347555
2021-07-06,20.28,20.59,18.01,20.2,131431
2021-07-07,20.04,20.0681,18.36,19.88,155989
2021-07-08,18.55,18.62,17.03,18.2999,108729
2021-07-09,19.0,19.5698,17.78,18.9,37493
2021-07-12,19.06,19.48,17.9,18.5,223444
2021-07-13,18.36,19.0,18.09,18.94,73358
2021-07-14,18.94,19.1,18.0009,18.34,100533
2021-07-15,18.35,18.92,17.21,17.3,74395
2021-07-16,17.17,18.24,16.49,17.86,127428
2021-07-19,17.76,20.29,17.274,19.11,67969
2021-07-20,19.11,19.59,18.31,18.51,94304
2021-07-21,18.31,19.095,17.15,17.5,95693
2021-07-22,17.51,17.585,16.77,17.13,54054
2021-07-23,16.87,17.3085,16.48,17.08,83649
2021-07-26,17.17,19.68,16.56,17.5,109984
2021-07-27,16.78,17.52,14.41,14.48,274365
2021-07-28,14.61,15.76,13.95,14.9,256881
2021-07-29,14.77,16.125,14.34,15.32,116111
2021-07-30,14.95,15.675,14.85,15.48,124854
2021-08-02,15.41,16.24,14.5,15.27,990794
2021-08-03,15.35,15.85,14.7,14.95,249389
2021-08-04,15.08,16.01,14.61,16.0,63837
2021-08-05,14.84,15.36,14.75,14.99,64783
2021-08-06,14.89,15.1832,14.8,15.01,66486
2021-08-09,15.11,15.2,14.8,15.04,56708
2021-08-10,15.49,15.5,14.7,14.75,70149
2021-08-11,15.05,15.15,14.66,14.82,45955
2021-08-12,15.0,15.09,14.79,14.9,53013
2021-08-13,15.0,15.45,14.9,15.17,73507
2021-08-16,15.3001,15.385,14.95,15.29,52116
2021-08-17,15.03,15.71,15.0,15.41,71880
2021-08-18,15.34,16.32,15.26,15.8,175146
2021-08-19,15.65,16.79,15.65,16.69,97697
2021-08-20,16.83,17.475,16.74,17.28,142638
2021-08-23,17.59,17.78,17.03,17.58,89544
2021-08-24,17.72,17.9478,16.84,17.06,73776
2021-08-25,17.16,17.7632,16.84,17.21,113707
2021-08-26,17.07,18.1899,16.44,17.45,226534
2021-08-27,17.48,19.27,17.2116,18.68,136221
2021-08-30,18.91,19.46,18.53,18.85,75521
2021-08-31,18.96,19.13,17.5,17.92,52443
2021-09-01,18.0,18.03,16.79,17.29,73396
2021-09-02,17.36,17.45,14.91,15.27,264356
2021-09-03,15.3,15.9,15.045,15.35,104777
2021-09-07,15.72,19.0,15.56,18.31,491103
2021-09-08,18.52,18.95,17.95,18.32,200614
2021-09-09,18.35,18.68,17.26,17.7,112908
2021-09-10,17.75,18.6992,17.0,17.0,77098
2021-09-13,16.89,17.67,15.61,16.03,123964
2021-09-14,15.81,16.62,15.36,15.95,278779
2021-09-15,15.77,16.22,14.9,15.33,421738
2021-09-16,15.31,16.43,15.11,16.18,339624
2021-09-17,16.18,17.71,15.855,16.23,1407457
2021-09-20,16.1,16.42,14.52,14.76,405414
2021-09-21,14.73,15.58,14.61,15.04,355599
2021-09-22,15.01,15.88,15.01,15.53,74475
2021-09-23,15.68,16.5,14.89,16.12,199227
2021-09-24,15.96,16.5,15.29,16.14,187464
2021-09-27,15.94,16.29,15.47,15.92,137220
2021-09-28,15.66,16.005,14.6,14.7,102306
2021-09-29,14.72,15.445,14.56,14.85,29170
2021-09-30,14.89,15.105,14.02,14.82,37252
2021-10-01,14.8,15.42,14.12,15.27,67658
2021-10-04,15.37,15.5,14.76,15.15,65436
2021-10-05,15.17,15.64,14.73,15.31,103986
2021-10-06,15.22,15.25,14.46,14.85,76439
2021-10-07,14.97,14.97,14.31,14.8,48716
2021-10-08,14.7,14.8202,13.41,13.45,54103
2021-10-11,13.5,13.88,12.7,13.09,45597
2021-10-12,13.12,13.535,13.0,13.47,21883
2021-10-13,13.42,14.53,13.165,14.39,53879
2021-10-14,14.5,14.5,13.72,13.93,35104
2021-10-15,14.17,14.29,13.05,13.55,31099
2021-10-18,13.58,13.58,12.84,13.46,44299
2021-10-19,13.46,13.95,13.15,13.88,36454
2021-10-20,14.01,14.41,13.59,14.16,20289
2021-10-21,14.22,14.65,14.16,14.56,20825
2021-10-22,14.65,14.65,13.84,14.38,28633
2021-10-25,14.4,14.5351,13.84,14.41,15820
2021-10-26,14.15,15.295,14.0,15.23,59993
2021-10-27,15.13,15.3399,14.44,14.59,38745
2021-10-28,14.71,14.84,14.235,14.4,28085
2021-10-29,14.18,14.485,13.3,13.3,32219
2021-11-01,14.05,14.72,13.61,13.87,15079
2021-11-02,13.7,14.91,13.1,13.54,31900
2021-11-03,13.61,14.54,13.43,14.42,16302
2021-11-04,14.49,14.9,14.3001,14.73,25125
2021-11-05,14.96,14.96,14.59,14.88,18505
2021-11-08,14.92,15.12,14.43,14.58,11366
2021-11-09,14.8,14.8,14.11,14.78,18176
2021-11-10,14.69,14.95,13.96,14.13,18984
2021-11-11,14.33,14.33,13.33,13.41,9902
2021-11-12,13.63,13.6777,12.82,12.95,13998
2021-11-15,13.21,13.21,11.65,11.85,48556
2021-11-16,11.89,11.89,10.58,10.73,22040
2021-11-17,10.65,10.97,9.9,10.77,101462
2021-11-18,10.84,10.84,10.02,10.29,45705
2021-11-19,10.22,11.24,9.64,9.86,30508
2021-11-22,9.94,10.52,9.5,9.7,68350
2021-11-23,9.6,9.685,8.92,9.0,93119
2021-11-24,8.88,9.095,8.14,9.0,53094
2021-11-26,8.74,8.78,8.13,8.27,35181
2021-11-29,8.52,9.105,7.95,8.12,41528
2021-11-30,8.08,8.09,7.65,7.9,127927
2021-12-01,8.08,8.16,7.435,7.58,58244
2021-12-02,7.55,8.47,7.52,8.13,147984
2021-12-03,8.25,8.4,7.7327,7.81,61533
2021-12-06,7.82,7.95,7.11,7.46,169211
2021-12-07,7.54,7.76,7.18,7.54,107711
2021-12-08,7.54,7.83,7.25,7.61,62407
2021-12-09,7.45,7.45,7.11,7.22,97932
2021-12-10,7.35,7.35,6.935,7.04,78022
2021-12-13,7.12,7.255,6.39,6.8,112418
2021-12-14,6.66,6.96,6.4,6.54,65750
2021-12-15,6.6,7.06,6.23,6.9,247481
2021-12-16,7.0,7.11,6.79,6.94,208210
2021-12-17,6.87,7.14,6.2006,6.88,487418
2021-12-20,6.88,7.11,6.56,6.96,211803
2021-12-21,6.96,7.08,6.81,7.07,220411
2021-12-22,7.28,7.28,6.9,7.04,69229
2021-12-23,7.07,7.19,6.84,7.07,117216
2021-12-27,7.0,7.08,6.77,6.83,82376
2021-12-28,6.82,6.96,6.65,6.65,59720
2021-12-29,6.74,6.76,6.49,6.65,56203
2021-12-30,6.73,7.25,6.55,6.9,191635
2021-12-31,6.81,7.095,6.7,6.76,178359
2022-01-03,6.86,7.035,6.525,6.73,296133
2022-01-04,6.76,6.88,6.3,6.37,199074
2022-01-05,6.36,6.57,6.0,6.01,169772
2022-01-06,5.95,6.1,5.65,5.73,37950
2022-01-07,5.7,6.045,5.65,5.75,81755
