Date,Open,High,Low,Close,Volume
2024-07-01,0.2,0.2,0.15,0.175,92435
2024-07-02,0.1501,0.16,0.15,0.15,344003
2024-07-03,0.1554,0.17,0.13,0.155,173015
2024-07-05,0.17,0.17,0.14,0.145,318147
2024-07-08,0.145,0.18,0.145,0.15,36672
2024-07-09,0.1796,0.1796,0.15,0.15,53696
2024-07-11,0.12,0.1786,0.12,0.15,11631
2024-07-12,0.1786,0.1786,0.1501,0.1501,2786
2024-07-15,0.1114,0.1114,0.1114,0.1114,255
2024-07-16,0.125,0.13,0.1249,0.13,103535
2024-07-17,0.13,0.13,0.13,0.13,730
2024-07-18,0.1224,0.1224,0.1224,0.1224,500
2024-07-22,0.1224,0.1224,0.1224,0.1224,759
2024-07-23,0.11,0.1212,0.1,0.1212,57800
2024-07-25,0.13,0.13,0.13,0.13,1521
2024-07-26,0.104,0.14,0.1001,0.125,9300
2024-07-29,0.13,0.16,0.1289,0.1599,10549
2024-07-30,0.1555,0.1555,0.1555,0.1555,218
2024-08-01,0.16,0.16,0.16,0.16,829
2024-08-02,0.125,0.136,0.125,0.1355,34900
2024-08-06,0.172,0.1721,0.172,0.1721,200
2024-08-08,0.16,0.16,0.16,0.16,1241
2024-08-09,0.12,0.12,0.12,0.12,15558
2024-08-12,0.15,0.15,0.15,0.15,300
2024-08-13,0.14,0.14,0.14,0.14,100
2024-08-14,0.13,0.13,0.12,0.12,246846
2024-08-15,0.122,0.13,0.12,0.1201,49350
2024-08-16,0.122,0.122,0.12,0.12,3602
2024-08-23,0.1135,0.1298,0.1135,0.1298,250800
2024-08-27,0.1145,0.12,0.1,0.12,337409
2024-08-28,0.1051,0.1051,0.1,0.1,32008
2024-09-03,0.1001,0.102,0.0802,0.09,12191
2024-09-04,0.1,0.1,0.09,0.09,29000
2024-09-05,0.0802,0.1,0.0802,0.095,41500
2024-09-06,0.1,0.1047,0.1,0.1,12352
2024-09-09,0.0851,0.102,0.0851,0.1,1300
2024-09-10,0.1,0.1,0.1,0.1,9998
2024-09-12,0.1,0.1,0.1,0.1,2400
2024-09-16,0.0861,0.1,0.086,0.0996,10797
2024-09-18,0.0864,0.11,0.0864,0.1,19600
2024-09-19,0.1,0.1088,0.1,0.1,25929
2024-09-20,0.11,0.11,0.1,0.1,500
2024-09-23,0.102,0.102,0.1019,0.1019,600
2024-09-24,0.1036,0.1036,0.1036,0.1036,500
2024-09-25,0.11,0.112,0.11,0.11,30400
2024-09-26,0.12,0.12,0.1199,0.1199,4000
2024-09-27,0.12,0.12,0.115,0.12,11316
2024-09-30,0.11,0.12,0.11,0.11,1808
2024-10-01,0.11,0.115,0.11,0.11,21454
2024-10-02,0.104,0.104,0.1001,0.1001,4000
2024-10-04,0.11,0.11,0.11,0.11,252
2024-10-08,0.1,0.102,0.1,0.1001,2000
2024-10-09,0.1,0.1,0.1,0.1,100
2024-10-10,0.1087,0.12,0.1001,0.12,1377
2024-10-11,0.11,0.11,0.1011,0.11,1000
2024-10-14,0.11,0.11,0.11,0.11,300
2024-10-15,0.11,0.125,0.11,0.1249,79759
2024-10-17,0.125,0.125,0.125,0.125,1344
2024-10-18,0.125,0.125,0.1001,0.125,12150
2024-10-21,0.1125,0.1412,0.1125,0.1375,24631
2024-10-24,0.1088,0.1088,0.1087,0.1088,500
2024-10-30,0.12,0.14,0.12,0.1399,11100
2024-10-31,0.116,0.116,0.1159,0.1159,500
2024-11-01,0.1101,0.1199,0.1101,0.1101,1900
2024-11-04,0.14,0.14,0.1101,0.1102,1799
2024-11-05,0.14,0.14,0.1101,0.1101,911
2024-11-06,0.12,0.12,0.101,0.101,3000
2024-11-07,0.14,0.14,0.1137,0.12,13700
2024-11-08,0.12,0.12,0.12,0.12,3297
2024-11-11,0.1101,0.1295,0.1101,0.1201,1836
2024-11-12,0.1101,0.14,0.1101,0.12,6000
2024-11-13,0.1101,0.1101,0.1101,0.1101,400
2024-11-14,0.1101,0.1103,0.101,0.11,13447
2024-11-15,0.101,0.1322,0.101,0.101,2700
2024-11-18,0.101,0.14,0.101,0.1204,2493
2024-11-19,0.1098,0.14,0.1,0.11,123400
2024-11-20,0.11,0.1101,0.11,0.1101,309600
2024-11-21,0.1,0.11,0.1,0.11,43875
2024-11-22,0.1025,0.1101,0.1025,0.11,19200
2024-11-25,0.14,0.14,0.11,0.135,220867
2024-11-26,0.13,0.13,0.13,0.13,300
2024-11-27,0.1399,0.15,0.12,0.15,4586
2024-11-29,0.1138,0.1138,0.111,0.1127,3100
2024-12-02,0.12,0.12,0.11,0.12,1319287
2024-12-03,0.1214,0.126,0.12,0.1201,37500
2024-12-04,0.13,0.13,0.13,0.13,25000
2024-12-10,0.13,0.13,0.13,0.13,150
2024-12-11,0.13,0.13,0.13,0.13,3000
2024-12-13,0.13,0.13,0.13,0.13,950
2024-12-16,0.148,0.1516,0.1337,0.145,84491
2024-12-17,0.148,0.15,0.1349,0.1401,79744
2024-12-18,0.14,0.14,0.14,0.14,100
2024-12-19,0.148,0.15,0.14,0.14,29747
2024-12-20,0.1493,0.15,0.14,0.1427,5503
2024-12-30,0.14,0.14,0.14,0.14,300
2024-12-31,0.14,0.14,0.14,0.14,300
2025-01-06,0.15,0.15,0.14,0.14,200
2025-01-07,0.14,0.14,0.14,0.14,940
2025-01-08,0.14,0.142,0.14,0.142,24800
2025-01-10,0.1401,0.1401,0.1401,0.1401,300
2025-01-14,0.1401,0.1433,0.14,0.1433,6900
2025-01-17,0.148,0.15,0.148,0.15,2000
2025-01-21,0.14,0.145,0.14,0.145,2250
2025-01-22,0.1401,0.15,0.14,0.15,23121
2025-01-23,0.15,0.15,0.15,0.15,1674
2025-01-24,0.15,0.1599,0.15,0.15,14271
2025-01-27,0.16,0.16,0.15,0.15,3691
2025-01-28,0.15,0.16,0.15,0.15,6790
2025-01-29,0.15,0.165,0.15,0.15,12280
2025-01-30,0.15,0.1575,0.11,0.155,8447
2025-01-31,0.15,0.15,0.1219,0.14,11300
2025-02-03,0.1283,0.1541,0.1283,0.15,48349
2025-02-04,0.1181,0.1552,0.118,0.1552,700
2025-02-06,0.15,0.1611,0.15,0.1572,5300
2025-02-07,0.15,0.15,0.148,0.15,335746
2025-02-10,0.1557,0.1649,0.15,0.1649,50600
2025-02-11,0.15,0.17,0.15,0.17,10733
2025-02-12,0.1643,0.185,0.1643,0.18,542843
2025-02-13,0.18,0.185,0.18,0.185,27200
2025-02-14,0.18,0.18,0.18,0.18,3500
2025-02-24,0.1837,0.1837,0.1837,0.1837,1600
2025-02-25,0.18,0.18,0.18,0.18,4625
2025-02-26,0.18,0.18,0.18,0.18,212500
