Date,Open,High,Low,Close,Volume
2017-09-07,9.75,9.79,9.75,9.78,530619
2017-09-08,9.8,9.8,9.8,9.8,100
2017-09-11,9.8,9.8,9.78,9.78,5300
2017-09-12,9.78,10.11,9.77,9.82,119380
2017-09-13,9.82,9.95,9.82,9.9,21100
2017-09-14,9.89,9.95,9.78,9.78,3000
2017-09-18,9.78,9.79,9.78,9.78,3625
2017-09-19,9.78,9.83,9.78,9.78,1200
2017-09-20,9.81,9.81,9.81,9.81,15015
2017-09-21,9.81,9.81,9.795,9.81,5700
2017-09-22,9.78,9.802,9.78,9.8,8835
2017-09-25,9.8,9.84,9.79,9.8,59800
2017-09-26,9.79,9.79,9.79,9.79,500
2017-09-27,9.79,9.81,9.78,9.81,36200
2017-09-28,9.83,10.019,9.815,9.82,61600
2017-10-02,9.81,9.85,9.81,9.833,9300
2017-10-03,9.83,9.84,9.81,9.81,3100
2017-10-04,9.81,9.84,9.81,9.812,17375
2017-10-05,9.8,9.8,9.8,9.8,50000
2017-10-06,9.8,9.82,9.8,9.82,600
2017-10-09,9.82,9.82,9.81,9.81,800
2017-10-10,9.83,9.84,9.81,9.81,6425
2017-10-12,9.82,9.82,9.76,9.79,400
2017-10-16,9.802,9.802,9.802,9.802,1000
2017-10-17,9.8,9.8,9.8,9.8,21500
2017-10-18,9.8,9.83,9.8,9.82,35700
2017-10-19,9.82,9.82,9.819,9.82,39600
2017-10-20,9.83,9.83,9.83,9.83,100
2017-10-24,9.8,9.8,9.8,9.8,1900
2017-10-25,9.75,9.81,9.75,9.81,19705
2017-10-26,9.82,9.958,9.82,9.95,9400
2017-10-27,9.82,9.82,9.81,9.81,3970
2017-10-30,9.8,9.821,9.78,9.81,351000
2017-11-06,9.83,9.83,9.8,9.8,4700
2017-11-07,9.8,9.81,9.799,9.8,26550
2017-11-08,9.81,9.81,9.81,9.81,225
2017-11-09,9.8,9.8,9.8,9.8,8840
2017-11-10,9.798,9.8,9.788,9.8,9100
2017-11-13,9.81,9.81,9.81,9.81,1500
2017-11-14,9.81,9.81,9.79,9.81,1125
2017-11-15,9.81,10.0,9.81,10.0,10104
2017-11-16,9.95,9.95,9.9,9.9,800
2017-11-21,15.0,15.0,15.0,15.0,100
2017-11-22,12.0,12.0,9.8,9.89,91800
2017-11-27,9.8,9.82,9.8,9.8,3200
2017-11-28,9.8,9.8,9.8,9.8,1000
2017-11-30,9.81,9.81,9.8,9.8,2600
2017-12-01,9.78,9.78,9.78,9.78,759
2017-12-04,9.83,9.854,9.75,9.76,10345
