Date,Open,High,Low,Close,Volume
2000-01-03,38.0,38.0625,35.375,35.375,51400
2000-01-04,35.375,35.375,34.1875,34.625,105900
2000-01-05,34.875,34.875,33.8125,33.875,162100
2000-01-06,33.9375,34.875,33.5,34.625,241300
2000-01-07,34.5625,35.75,34.5625,35.625,215200
2000-01-10,35.8125,37.25,35.8125,37.25,78900
2000-01-11,37.125,37.125,35.875,36.0625,90500
2000-01-12,36.0625,36.0625,35.75,35.875,30000
2000-01-13,35.9375,36.0,35.625,35.875,80400
2000-01-14,35.9375,36.0,35.1875,35.5,47100
2000-01-18,35.375,35.375,34.875,35.125,87300
2000-01-19,35.0,35.4375,35.0,35.3125,117400
2000-01-20,35.4375,35.875,34.625,34.875,84400
2000-01-21,34.625,35.0,34.625,34.875,55000
2000-01-24,35.0,35.4375,34.625,34.625,74000
2000-01-25,34.5625,34.6875,33.75,34.1875,70800
2000-01-26,34.1875,34.375,33.9375,33.9375,29900
2000-01-27,33.9375,34.0625,33.0,33.1875,49700
2000-01-28,33.0,33.0,31.8125,32.3125,76800
2000-01-31,32.4375,32.625,31.8125,31.875,101600
2000-02-01,32.125,32.9375,31.875,32.0,170900
2000-02-02,32.125,32.6875,32.125,32.375,81000
2000-02-03,32.375,35.375,32.25,35.0,255500
2000-02-04,35.5,37.875,35.5,37.875,452700
2000-02-07,39.5,39.6875,37.6875,38.0,370500
2000-02-08,38.0,38.0,36.875,37.375,217600
2000-02-09,37.25,38.0,37.0,37.0625,236700
2000-02-10,37.25,37.75,36.9375,37.375,62200
2000-02-11,37.625,38.0,37.25,37.3125,68100
2000-02-14,37.375,37.9375,37.25,37.875,54400
2000-02-15,37.9375,38.4375,37.9375,38.1875,87400
2000-02-16,38.25,38.6875,38.0,38.375,44700
2000-02-17,38.5,38.625,37.0625,37.9375,83100
2000-02-18,37.6875,37.6875,36.5,36.5,54800
2000-02-22,36.5625,36.5625,35.75,36.25,74900
2000-02-23,36.375,37.0,36.125,36.9375,107900
2000-02-24,36.9375,36.9375,36.5,36.8125,67600
2000-02-25,36.8125,37.125,36.75,37.0,138000
2000-02-28,37.0,39.375,36.875,38.6875,134700
2000-02-29,38.625,39.0,38.4375,38.625,85700
2000-03-01,38.0,38.625,38.0,38.4375,91600
2000-03-02,38.4375,38.4375,37.0625,37.3125,46600
2000-03-03,37.25,37.5,36.875,37.3125,75200
2000-03-06,37.25,37.25,36.75,36.875,69400
2000-03-07,37.0,39.25,37.0,38.5,182700
2000-03-08,38.75,38.75,37.3125,37.5,205800
2000-03-09,37.5,37.5,36.9375,37.0,156100
2000-03-10,37.0,38.0,36.875,37.5,178600
2000-03-13,37.375,38.1875,36.8125,38.1875,50200
