Date,Open,High,Low,Close,Volume
2024-09-23,9.97,9.99,9.97,9.99,2234684
2024-09-24,9.99,9.995,9.98,9.99,302423
2024-09-25,9.99,9.99,9.99,9.99,500000
2024-09-26,9.99,10.14,9.99,9.99,99369
2024-09-27,10.0,10.0,10.0,10.0,200
2024-09-30,10.0,10.0,10.0,10.0,5000
2024-10-01,10.01,10.01,10.01,10.01,100000
2024-10-02,10.01,10.01,10.01,10.01,300000
2024-10-03,10.15,10.15,10.0,10.0,1806
2024-10-07,10.01,10.01,10.01,10.01,24815
2024-10-08,10.01,10.04,10.01,10.04,100700
2024-10-09,10.01,10.02,10.01,10.02,19066
2024-10-14,10.0199,10.02,10.0199,10.02,2400
2024-10-15,10.01,10.02,10.01,10.02,78000
2024-10-16,10.05,10.05,10.05,10.05,1500
2024-10-17,10.025,10.03,10.01,10.02,790837
2024-10-18,10.0165,10.0165,10.0165,10.0165,86000
2024-10-22,10.02,10.02,10.02,10.02,242
2024-10-24,10.02,10.02,10.02,10.02,50000
2024-10-25,10.02,10.02,10.02,10.02,2000
2024-10-28,10.02,10.02,10.02,10.02,200000
2024-11-01,10.02,10.02,10.02,10.02,28556
2024-11-04,10.03,10.03,10.03,10.03,8555
2024-11-05,10.04,10.04,10.04,10.04,321
2024-11-06,10.0418,10.0418,10.0418,10.0418,100
2024-11-07,10.03,10.03,10.03,10.03,300
2024-11-08,10.03,10.03,10.0251,10.0264,3400
2024-11-11,10.03,10.05,10.0249,10.0299,1000
2024-11-12,10.03,10.03,10.01,10.03,9385
2024-11-13,10.03,10.03,10.03,10.03,6626
2024-11-14,10.03,10.1059,10.02,10.03,2900
2024-11-15,10.03,10.03,10.03,10.03,300
2024-11-18,10.03,10.03,10.03,10.03,400
2024-11-19,10.03,10.03,10.03,10.03,51068
2024-11-20,10.03,10.035,10.03,10.035,10692
2024-11-21,10.03,10.03,10.03,10.03,465
2024-11-22,10.03,10.03,10.0219,10.03,7490
2024-11-25,10.035,10.035,10.035,10.035,49869
2024-11-26,10.035,10.05,10.035,10.05,5600
2024-11-27,10.04,10.04,10.04,10.04,12500
2024-12-02,10.04,10.04,10.04,10.04,2300
2024-12-06,10.04,10.04,10.04,10.04,53009
2024-12-09,10.0481,10.0481,10.0481,10.0481,1390
2024-12-10,10.04,10.05,10.04,10.05,9318
2024-12-11,10.05,10.05,10.05,10.05,3818
2024-12-12,10.0437,10.0437,10.04,10.04,2080
2024-12-13,10.0442,10.0442,10.0442,10.0442,6040
2024-12-16,10.05,10.05,10.05,10.05,26501
2024-12-17,10.0516,10.06,10.0516,10.06,41191
2024-12-18,10.06,10.06,10.06,10.06,21286
2024-12-19,10.1773,10.53,10.05,10.25,6330
2024-12-20,10.06,10.06,10.06,10.06,700
2024-12-26,10.07,10.07,10.065,10.065,150000
2024-12-30,10.07,10.07,10.06,10.06,200
2024-12-31,10.07,10.07,10.06,10.06,54997
2025-01-02,10.06,10.06,10.06,10.06,72379
2025-01-03,10.0696,10.0696,10.06,10.06,13107
2025-01-06,10.06,10.06,10.06,10.06,100
2025-01-07,10.07,10.07,10.07,10.07,22000
2025-01-13,10.08,10.08,10.07,10.07,400
2025-01-14,10.075,10.08,10.075,10.08,7200
2025-01-15,10.0851,10.09,10.08,10.0801,18200
2025-01-16,10.08,10.08,10.08,10.08,3945
2025-01-21,10.09,10.13,10.09,10.09,6000
2025-01-22,10.09,10.09,10.08,10.09,2648
2025-01-23,10.09,10.1,10.0899,10.0959,2800
2025-01-27,10.13,10.14,10.09,10.09,1000
2025-01-28,10.1224,10.1224,10.09,10.0999,49220
2025-01-30,10.103,10.103,10.103,10.103,564
2025-02-03,10.1,10.1,10.1,10.1,701
2025-02-04,10.1321,10.1321,10.1,10.1,1300
2025-02-05,10.1,10.1359,10.1,10.1353,47866
2025-02-10,10.12,10.15,10.12,10.14,63900
2025-02-11,10.15,10.15,10.15,10.15,91202
2025-02-14,10.215,10.215,10.16,10.16,200
2025-02-19,10.15,10.155,10.1398,10.155,3922
2025-02-21,10.1486,10.1499,10.1399,10.14,900
2025-02-24,10.15,10.15,10.15,10.15,470
2025-02-26,10.15,10.15,10.14,10.14,3602
